SampleName,StartDate,EndDate
TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25SEP09-01-034 ,TEM ABF Effluent (09-08-2025),9/8/2025,Volatile Suspended Solids,104,104,,mg/L
ST25SEP09-01-034 ,TEM ABF Effluent (09-08-2025),9/8/2025,pH,7.65,7.65,,pH Units
ST25SEP09-01-034 ,TEM ABF Effluent (09-08-2025),9/8/2025,Soluble BOD,56,56,,mg/L
ST25SEP10-01-034 ,TEM ABF Effluent (09-09-2025),9/9/2025,% Volatile Suspended Solids,96,96,,%
ST25SEP10-01-034 ,TEM ABF Effluent (09-09-2025),9/9/2025,Total Suspended Solids,108,108,,mg/L
ST25SEP10-01-034 ,TEM ABF Effluent (09-09-2025),9/9/2025,Volatile Suspended Solids,104,104,,mg/L
ST25SEP10-01-034 ,TEM ABF Effluent (09-09-2025),9/9/2025,pH,7.56,7.56,,pH Units
ST25SEP10-01-034 ,TEM ABF Effluent (09-09-2025),9/9/2025,Soluble BOD,171,171,,mg/L
ST25SEP11-01-036 ,TEM ABF Effluent (09-10-2025),9/10/2025,pH,7.32,7.32,,pH Units
ST25SEP11-01-036 ,TEM ABF Effluent (09-10-2025),9/10/2025,Soluble BOD,62,62,,mg/L
ST25SEP11-01-036 ,TEM ABF Effluent (09-10-2025),9/10/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP11-01-036 ,TEM ABF Effluent (09-10-2025),9/10/2025,Total Suspended Solids,370,370,,mg/L
ST25SEP11-01-036 ,TEM ABF Effluent (09-10-2025),9/10/2025,Volatile Suspended Solids,340,340,,mg/L
ST25SEP12-01-034 ,TEM ABF Effluent (09-11-2025),9/11/2025,% Volatile Suspended Solids,90,90,,%
ST25SEP12-01-034 ,TEM ABF Effluent (09-11-2025),9/11/2025,Total Suspended Solids,332,332,,mg/L
ST25SEP12-01-034 ,TEM ABF Effluent (09-11-2025),9/11/2025,Volatile Suspended Solids,300,300,,mg/L
ST25SEP12-01-034 ,TEM ABF Effluent (09-11-2025),9/11/2025,pH,7.23,7.23,,pH Units
ST25SEP12-01-034 ,TEM ABF Effluent (09-11-2025),9/11/2025,Soluble BOD,117,117,,mg/L
ST25SEP13-02-033 ,TEM ABF Effluent (09-12-2025),9/12/2025,% Volatile Suspended Solids,96,96,,%
ST25SEP13-02-033 ,TEM ABF Effluent (09-12-2025),9/12/2025,Total Suspended Solids,497,497,,mg/L
ST25SEP13-02-033 ,TEM ABF Effluent (09-12-2025),9/12/2025,Volatile Suspended Solids,477,477,,mg/L
ST25SEP13-02-033 ,TEM ABF Effluent (09-12-2025),9/12/2025,pH,7.61,7.61,,pH Units
ST25SEP13-02-033 ,TEM ABF Effluent (09-12-2025),9/12/2025,Soluble BOD,118,118,,mg/L
ST25SEP14-02-033 ,TEM ABF Effluent (09-13-2025),9/13/2025,% Volatile Suspended Solids,96,96,,%
ST25SEP14-02-033 ,TEM ABF Effluent (09-13-2025),9/13/2025,Total Suspended Solids,500,500,,mg/L
ST25SEP14-02-033 ,TEM ABF Effluent (09-13-2025),9/13/2025,Volatile Suspended Solids,480,480,,mg/L
ST25SEP14-02-033 ,TEM ABF Effluent (09-13-2025),9/13/2025,pH,7.55,7.55,,pH Units
ST25SEP14-02-033 ,TEM ABF Effluent (09-13-2025),9/13/2025,Soluble BOD,100,100,,mg/L
ST25SEP15-01-034 ,TEM ABF Effluent (09-14-2025),9/14/2025,% Volatile Suspended Solids,96,96,,%
ST25SEP15-01-034 ,TEM ABF Effluent (09-14-2025),9/14/2025,Total Suspended Solids,543,543,,mg/L
ST25SEP15-01-034 ,TEM ABF Effluent (09-14-2025),9/14/2025,Volatile Suspended Solids,520,520,,mg/L
ST25SEP15-01-034 ,TEM ABF Effluent (09-14-2025),9/14/2025,pH,7.51,7.51,,pH Units
ST25SEP15-01-034 ,TEM ABF Effluent (09-14-2025),9/14/2025,Soluble BOD,186,186,,mg/L
ST25SEP16-01-034,TEM ABF Effluent (09-15-2025),9/15/2025,% Volatile Suspended Solids,99,99,,%
ST25SEP16-01-034,TEM ABF Effluent (09-15-2025),9/15/2025,Total Suspended Solids,167,167,,mg/L
ST25SEP16-01-034,TEM ABF Effluent (09-15-2025),9/15/2025,Volatile Suspended Solids,165,165,,mg/L
ST25SEP16-01-034,TEM ABF Effluent (09-15-2025),9/15/2025,pH,7.75,7.75,,pH Units
ST25SEP16-01-034,TEM ABF Effluent (09-15-2025),9/15/2025,Soluble BOD,121,121,,mg/L
ST25SEP17-02-034 ,TEM ABF Effluent (09-16-2025),9/16/2025,% Volatile Suspended Solids,91,91,,%
ST25SEP17-02-034 ,TEM ABF Effluent (09-16-2025),9/16/2025,Total Suspended Solids,187,187,,mg/L
ST25SEP17-02-034 ,TEM ABF Effluent (09-16-2025),9/16/2025,Volatile Suspended Solids,170,170,,mg/L
ST25SEP17-02-034 ,TEM ABF Effluent (09-16-2025),9/16/2025,pH,7.54,7.54,,pH Units
ST25SEP17-02-034 ,TEM ABF Effluent (09-16-2025),9/16/2025,Soluble BOD,142,142,,mg/L
ST25SEP18-01-036 ,TEM ABF Effluent (09-17-2025),9/17/2025,pH,7.79,7.79,,pH Units
ST25SEP18-01-036 ,TEM ABF Effluent (09-17-2025),9/17/2025,Soluble BOD,222,222,,mg/L
ST25SEP18-01-036 ,TEM ABF Effluent (09-17-2025),9/17/2025,% Volatile Suspended Solids,97,97,,%
ST25SEP18-01-036 ,TEM ABF Effluent (09-17-2025),9/17/2025,Total Suspended Solids,143,143,,mg/L
ST25SEP18-01-036 ,TEM ABF Effluent (09-17-2025),9/17/2025,Volatile Suspended Solids,139,139,,mg/L
ST25SEP19-01-034 ,TEM ABF Effluent (09-18-2025),9/18/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP19-01-034 ,TEM ABF Effluent (09-18-2025),9/18/2025,Total Suspended Solids,1115,1115,,mg/L
ST25SEP19-01-034 ,TEM ABF Effluent (09-18-2025),9/18/2025,Volatile Suspended Solids,1030,1030,,mg/L
ST25SEP19-01-034 ,TEM ABF Effluent (09-18-2025),9/18/2025,pH,7.45,7.45,,pH Units
ST25SEP19-01-034 ,TEM ABF Effluent (09-18-2025),9/18/2025,Soluble BOD,294,294,,mg/L
ST25SEP20-02-033 ,TEM ABF Effluent (09-19-2025),9/19/2025,% Volatile Suspended Solids,91,91,,%
ST25SEP20-02-033 ,TEM ABF Effluent (09-19-2025),9/19/2025,Total Suspended Solids,957,957,,mg/L
ST25SEP20-02-033 ,TEM ABF Effluent (09-19-2025),9/19/2025,Volatile Suspended Solids,867,867,,mg/L
ST25SEP20-02-033 ,TEM ABF Effluent (09-19-2025),9/19/2025,pH,7.35,7.35,,pH Units
ST25SEP20-02-033 ,TEM ABF Effluent (09-19-2025),9/19/2025,Soluble BOD,202,202,,mg/L
ST25SEP21-02-033 ,TEM ABF Effluent (09-20-2025),9/20/2025,pH,7.46,7.46,,pH Units
ST25SEP21-02-033 ,TEM ABF Effluent (09-20-2025),9/20/2025,Soluble BOD,166,166,,mg/L
ST25SEP21-02-033 ,TEM ABF Effluent (09-20-2025),9/20/2025,% Volatile Suspended Solids,90,90,,%
ST25SEP21-02-033 ,TEM ABF Effluent (09-20-2025),9/20/2025,Total Suspended Solids,893,893,,mg/L
ST25SEP21-02-033 ,TEM ABF Effluent (09-20-2025),9/20/2025,Volatile Suspended Solids,803,803,,mg/L
ST25SEP22-01-034 ,TEM ABF Effluent (09-21-2025),9/21/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP22-01-034 ,TEM ABF Effluent (09-21-2025),9/21/2025,Total Suspended Solids,690,690,,mg/L
ST25SEP22-01-034 ,TEM ABF Effluent (09-21-2025),9/21/2025,Volatile Suspended Solids,637,637,,mg/L
ST25SEP22-01-034 ,TEM ABF Effluent (09-21-2025),9/21/2025,pH,7.68,7.68,,pH Units
ST25SEP22-01-034 ,TEM ABF Effluent (09-21-2025),9/21/2025,Soluble BOD,58,58,,mg/L
ST25SEP23-01-034,TEM ABF Effluent (09-22-2025),9/22/2025,% Volatile Suspended Solids,95,95,,%
ST25SEP23-01-034,TEM ABF Effluent (09-22-2025),9/22/2025,Total Suspended Solids,473,473,,mg/L
ST25SEP23-01-034,TEM ABF Effluent (09-22-2025),9/22/2025,Volatile Suspended Solids,450,450,,mg/L
ST25SEP23-01-034,TEM ABF Effluent (09-22-2025),9/22/2025,pH,7.71,7.71,,pH Units
ST25SEP23-01-034,TEM ABF Effluent (09-22-2025),9/22/2025,Soluble BOD,152,152,,mg/L
ST25SEP24-01-034,TEM ABF Effluent (09-23-2025),9/23/2025,% Volatile Suspended Solids,87,87,,%
ST25SEP24-01-034,TEM ABF Effluent (09-23-2025),9/23/2025,Total Suspended Solids,633,633,,mg/L
ST25SEP24-01-034,TEM ABF Effluent (09-23-2025),9/23/2025,Volatile Suspended Solids,550,550,,mg/L
ST25SEP24-01-034,TEM ABF Effluent (09-23-2025),9/23/2025,pH,7.62,7.62,,pH Units
ST25SEP24-01-034,TEM ABF Effluent (09-23-2025),9/23/2025,Soluble BOD,135,135,,mg/L
ST25SEP25-01-036 ,TEM ABF Effluent (09-24-2025),9/24/2025,pH,7.64,7.64,,pH Units
ST25SEP25-01-036 ,TEM ABF Effluent (09-24-2025),9/24/2025,Soluble BOD,104,104,,mg/L
ST25SEP25-01-036 ,TEM ABF Effluent (09-24-2025),9/24/2025,% Volatile Suspended Solids,86,86,,%
ST25SEP25-01-036 ,TEM ABF Effluent (09-24-2025),9/24/2025,Total Suspended Solids,2597,2597,,mg/L
ST25SEP25-01-036 ,TEM ABF Effluent (09-24-2025),9/24/2025,Volatile Suspended Solids,2233,2233,,mg/L
ST25SEP26-01-034,TEM ABF Effluent (09-25-2025),9/25/2025,% Volatile Suspended Solids,80,80,,%
ST25SEP26-01-034,TEM ABF Effluent (09-25-2025),9/25/2025,Total Suspended Solids,580,580,,mg/L
ST25SEP26-01-034,TEM ABF Effluent (09-25-2025),9/25/2025,Volatile Suspended Solids,467,467,,mg/L
ST25SEP26-01-034,TEM ABF Effluent (09-25-2025),9/25/2025,pH,7.40,7.40,,pH Units
ST25SEP26-01-034,TEM ABF Effluent (09-25-2025),9/25/2025,Soluble BOD,126,126,,mg/L
ST25SEP27-02-033 ,TEM ABF Effluent (09-26-2025),9/26/2025,% Volatile Suspended Solids,95,95,,%
ST25SEP27-02-033 ,TEM ABF Effluent (09-26-2025),9/26/2025,Total Suspended Solids,793,793,,mg/L
ST25SEP27-02-033 ,TEM ABF Effluent (09-26-2025),9/26/2025,Volatile Suspended Solids,753,753,,mg/L
ST25SEP27-02-033 ,TEM ABF Effluent (09-26-2025),9/26/2025,pH,7.55,7.55,,pH Units
ST25SEP27-02-033 ,TEM ABF Effluent (09-26-2025),9/26/2025,Soluble BOD,93,93,,mg/L
ST25SEP28-02-033 ,TEM ABF Effluent (09-27-2025),9/27/2025,% Volatile Suspended Solids,87,87,,%
ST25SEP28-02-033 ,TEM ABF Effluent (09-27-2025),9/27/2025,Total Suspended Solids,1260,1260,,mg/L
ST25SEP28-02-033 ,TEM ABF Effluent (09-27-2025),9/27/2025,Volatile Suspended Solids,1095,1095,,mg/L
ST25SEP28-02-033 ,TEM ABF Effluent (09-27-2025),9/27/2025,pH,7.63,7.63,,pH Units
ST25SEP28-02-033 ,TEM ABF Effluent (09-27-2025),9/27/2025,Soluble BOD,125,125,,mg/L
ST25SEP29-01-034 ,TEM ABF Effluent (09-28-2025),9/28/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP29-01-034 ,TEM ABF Effluent (09-28-2025),9/28/2025,Total Suspended Solids,727,727,,mg/L
ST25SEP29-01-034 ,TEM ABF Effluent (09-28-2025),9/28/2025,Volatile Suspended Solids,667,667,,mg/L
ST25SEP29-01-034 ,TEM ABF Effluent (09-28-2025),9/28/2025,pH,7.85,7.85,,pH Units
ST25SEP29-01-034 ,TEM ABF Effluent (09-28-2025),9/28/2025,Soluble BOD,147,147,,mg/L
ST25SEP30-01-034 ,TEM ABF Effluent (09-29-2025),9/29/2025,% Volatile Suspended Solids,94,94,,%
ST25SEP30-01-034 ,TEM ABF Effluent (09-29-2025),9/29/2025,Total Suspended Solids,115,115,,mg/L
ST25SEP30-01-034 ,TEM ABF Effluent (09-29-2025),9/29/2025,Volatile Suspended Solids,108,108,,mg/L
ST25SEP30-01-034 ,TEM ABF Effluent (09-29-2025),9/29/2025,pH,7.89,7.89,,pH Units
ST25SEP30-01-034 ,TEM ABF Effluent (09-29-2025),9/29/2025,Soluble BOD,80,80,,mg/L
ST25OCT01-06-034 ,TEM ABF Effluent (09-30-2025),9/30/2025,% Volatile Suspended Solids,90,90,,%
ST25OCT01-06-034 ,TEM ABF Effluent (09-30-2025),9/30/2025,Total Suspended Solids,370,370,,mg/L
ST25OCT01-06-034 ,TEM ABF Effluent (09-30-2025),9/30/2025,Volatile Suspended Solids,333,333,,mg/L
ST25OCT01-06-034 ,TEM ABF Effluent (09-30-2025),9/30/2025,pH,7.70,7.70,,pH Units
ST25OCT01-06-034 ,TEM ABF Effluent (09-30-2025),9/30/2025,Soluble BOD,59,59,,mg/L
ST25OCT02-01-036 ,TEM ABF Effluent (10-01-2025),10/1/2025,pH,7.72,7.72,,pH Units
ST25OCT02-01-036 ,TEM ABF Effluent (10-01-2025),10/1/2025,Soluble BOD,64,64,,mg/L
ST25OCT02-01-036 ,TEM ABF Effluent (10-01-2025),10/1/2025,% Volatile Suspended Solids,72,72,,%
ST25OCT02-01-036 ,TEM ABF Effluent (10-01-2025),10/1/2025,Total Suspended Solids,732,732,,mg/L
ST25OCT02-01-036 ,TEM ABF Effluent (10-01-2025),10/1/2025,Volatile Suspended Solids,530,530,,mg/L
ST25OCT03-01-034 ,TEM ABF Effluent (10-02-2025),10/2/2025,% Volatile Suspended Solids,87,87,,%
ST25OCT03-01-034 ,TEM ABF Effluent (10-02-2025),10/2/2025,Total Suspended Solids,88,88,,mg/L
ST25OCT03-01-034 ,TEM ABF Effluent (10-02-2025),10/2/2025,Volatile Suspended Solids,76,76,,mg/L
ST25OCT03-01-034 ,TEM ABF Effluent (10-02-2025),10/2/2025,pH,7.80,7.80,,pH Units
ST25OCT03-01-034 ,TEM ABF Effluent (10-02-2025),10/2/2025,Soluble BOD,54,54,,mg/L
ST25OCT04-02-033 ,TEM ABF Effluent (10-03-2025),10/3/2025,% Volatile Suspended Solids,93,93,,%
ST25OCT04-02-033 ,TEM ABF Effluent (10-03-2025),10/3/2025,Total Suspended Solids,313,313,,mg/L
ST25OCT04-02-033 ,TEM ABF Effluent (10-03-2025),10/3/2025,Volatile Suspended Solids,292,292,,mg/L
ST25OCT04-02-033 ,TEM ABF Effluent (10-03-2025),10/3/2025,pH,7.09,7.09,,pH Units
ST25OCT04-02-033 ,TEM ABF Effluent (10-03-2025),10/3/2025,Soluble BOD,379,379,,mg/L
ST25OCT05-02-033 ,TEM ABF Effluent (10-04-2025),10/4/2025,% Volatile Suspended Solids,85,85,,%
ST25OCT05-02-033 ,TEM ABF Effluent (10-04-2025),10/4/2025,Total Suspended Solids,189,189,,mg/L
ST25OCT05-02-033 ,TEM ABF Effluent (10-04-2025),10/4/2025,Volatile Suspended Solids,161,161,,mg/L
ST25OCT05-02-033 ,TEM ABF Effluent (10-04-2025),10/4/2025,pH,7.76,7.76,,pH Units
ST25OCT05-02-033 ,TEM ABF Effluent (10-04-2025),10/4/2025,Soluble BOD,79,79,,mg/L
ST25OCT06-01-034 ,TEM ABF Effluent (10-05-2025),10/5/2025,% Volatile Suspended Solids,85,85,,%
ST25OCT06-01-034 ,TEM ABF Effluent (10-05-2025),10/5/2025,Total Suspended Solids,390,390,,mg/L
ST25OCT06-01-034 ,TEM ABF Effluent (10-05-2025),10/5/2025,Volatile Suspended Solids,332,332,,mg/L
ST25OCT06-01-034 ,TEM ABF Effluent (10-05-2025),10/5/2025,pH,7.77,7.77,,pH Units
ST25OCT06-01-034 ,TEM ABF Effluent (10-05-2025),10/5/2025,Soluble BOD,46,46,,mg/L
ST25OCT07-01-034 ,TEM ABF Effluent (10-06-2025),10/6/2025,% Volatile Suspended Solids,87,87,,%
ST25OCT07-01-034 ,TEM ABF Effluent (10-06-2025),10/6/2025,Total Suspended Solids,422,422,,mg/L
ST25OCT07-01-034 ,TEM ABF Effluent (10-06-2025),10/6/2025,Volatile Suspended Solids,368,368,,mg/L
ST25OCT07-01-034 ,TEM ABF Effluent (10-06-2025),10/6/2025,pH,6.69,6.69,,pH Units
ST25OCT07-01-034 ,TEM ABF Effluent (10-06-2025),10/6/2025,Soluble BOD,90,90,,mg/L
ST25OCT08-01-034 ,TEM ABF Effluent (10-07-2025),10/7/2025,% Volatile Suspended Solids,88,88,,%
ST25OCT08-01-034 ,TEM ABF Effluent (10-07-2025),10/7/2025,Total Suspended Solids,267,267,,mg/L
ST25OCT08-01-034 ,TEM ABF Effluent (10-07-2025),10/7/2025,Volatile Suspended Solids,236,236,,mg/L
ST25OCT08-01-034 ,TEM ABF Effluent (10-07-2025),10/7/2025,pH,7.44,7.44,,pH Units
ST25OCT08-01-034 ,TEM ABF Effluent (10-07-2025),10/7/2025,Soluble BOD,50,50,,mg/L
ST25OCT09-01-036,TEM ABF Effluent (10-08-2025),10/8/2025,pH,7.64,7.64,,pH Units
ST25OCT09-01-036,TEM ABF Effluent (10-08-2025),10/8/2025,Soluble BOD,119,119,,mg/L
ST25OCT09-01-036,TEM ABF Effluent (10-08-2025),10/8/2025,% Volatile Suspended Solids,80,80,,%
ST25OCT09-01-036,TEM ABF Effluent (10-08-2025),10/8/2025,Total Suspended Solids,248,248,,mg/L
ST25OCT09-01-036,TEM ABF Effluent (10-08-2025),10/8/2025,Volatile Suspended Solids,199,199,,mg/L
ST25OCT10-01-034 ,TEM ABF Effluent (10-09-2025),10/9/2025,% Volatile Suspended Solids,82,82,,%
ST25OCT10-01-034 ,TEM ABF Effluent (10-09-2025),10/9/2025,Total Suspended Solids,363,363,,mg/L
ST25OCT10-01-034 ,TEM ABF Effluent (10-09-2025),10/9/2025,Volatile Suspended Solids,297,297,,mg/L
ST25OCT10-01-034 ,TEM ABF Effluent (10-09-2025),10/9/2025,pH,7.62,7.62,,pH Units
ST25OCT10-01-034 ,TEM ABF Effluent (10-09-2025),10/9/2025,Soluble BOD,98,98,,mg/L
ST25OCT11-02-033 ,TEM ABF Effluent (10-10-2025),10/10/2025,% Volatile Suspended Solids,80,80,,%
ST25OCT11-02-033 ,TEM ABF Effluent (10-10-2025),10/10/2025,Total Suspended Solids,444,444,,mg/L
ST25OCT11-02-033 ,TEM ABF Effluent (10-10-2025),10/10/2025,Volatile Suspended Solids,354,354,,mg/L
ST25OCT11-02-033 ,TEM ABF Effluent (10-10-2025),10/10/2025,pH,7.74,7.74,,pH Units
ST25OCT11-02-033 ,TEM ABF Effluent (10-10-2025),10/10/2025,Soluble BOD,84,84,,mg/L
ST25OCT12-02-033 ,TEM ABF Effluent (10-11-2025),10/11/2025,% Volatile Suspended Solids,85,85,,%
ST25OCT12-02-033 ,TEM ABF Effluent (10-11-2025),10/11/2025,Total Suspended Solids,382,382,,mg/L
ST25OCT12-02-033 ,TEM ABF Effluent (10-11-2025),10/11/2025,Volatile Suspended Solids,324,324,,mg/L
ST25OCT12-02-033 ,TEM ABF Effluent (10-11-2025),10/11/2025,pH,7.83,7.83,,pH Units
ST25OCT12-02-033 ,TEM ABF Effluent (10-11-2025),10/11/2025,Soluble BOD,73,73,,mg/L
ST25OCT13-01-034,TEM ABF Effluent (10-12-2025),10/12/2025,% Volatile Suspended Solids,87,87,,%
ST25OCT13-01-034,TEM ABF Effluent (10-12-2025),10/12/2025,Total Suspended Solids,261,261,,mg/L
ST25OCT13-01-034,TEM ABF Effluent (10-12-2025),10/12/2025,Volatile Suspended Solids,228,228,,mg/L
ST25OCT13-01-034,TEM ABF Effluent (10-12-2025),10/12/2025,pH,7.79,7.79,,pH Units
ST25OCT13-01-034,TEM ABF Effluent (10-12-2025),10/12/2025,Soluble BOD,55,55,,mg/L
ST25OCT14-01-034 ,TEM ABF Effluent (10-13-2025),10/13/2025,% Volatile Suspended Solids,88,88,,%
ST25OCT14-01-034 ,TEM ABF Effluent (10-13-2025),10/13/2025,Total Suspended Solids,186,186,,mg/L
ST25OCT14-01-034 ,TEM ABF Effluent (10-13-2025),10/13/2025,Volatile Suspended Solids,164,164,,mg/L
ST25OCT14-01-034 ,TEM ABF Effluent (10-13-2025),10/13/2025,pH,7.90,7.90,,pH Units
ST25OCT14-01-034 ,TEM ABF Effluent (10-13-2025),10/13/2025,Soluble BOD,69,69,,mg/L
ST25OCT15-01-034 ,TEM ABF Effluent (10-14-2025),10/14/2025,% Volatile Suspended Solids,97,97,,%
ST25OCT15-01-034 ,TEM ABF Effluent (10-14-2025),10/14/2025,Total Suspended Solids,204,204,,mg/L
ST25OCT15-01-034 ,TEM ABF Effluent (10-14-2025),10/14/2025,Volatile Suspended Solids,197,197,,mg/L
ST25OCT15-01-034 ,TEM ABF Effluent (10-14-2025),10/14/2025,pH,7.76,7.76,,pH Units
ST25OCT15-01-034 ,TEM ABF Effluent (10-14-2025),10/14/2025,Soluble BOD,76,76,,mg/L
ST25OCT16-01-036 ,TEM ABF Effluent (10-15-2025),10/15/2025,pH,7.72,7.72,,pH Units
ST25OCT16-01-036 ,TEM ABF Effluent (10-15-2025),10/15/2025,Soluble BOD,80,80,,mg/L
ST25OCT16-01-036 ,TEM ABF Effluent (10-15-2025),10/15/2025,% Volatile Suspended Solids,95,95,,%
ST25OCT16-01-036 ,TEM ABF Effluent (10-15-2025),10/15/2025,Total Suspended Solids,343,343,,mg/L
ST25OCT16-01-036 ,TEM ABF Effluent (10-15-2025),10/15/2025,Volatile Suspended Solids,325,325,,mg/L
ST25OCT17-01-034 ,TEM ABF Effluent (10-16-2025),10/16/2025,% Volatile Suspended Solids,94,94,,%
ST25OCT17-01-034 ,TEM ABF Effluent (10-16-2025),10/16/2025,Total Suspended Solids,182,182,,mg/L
ST25OCT17-01-034 ,TEM ABF Effluent (10-16-2025),10/16/2025,Volatile Suspended Solids,172,172,,mg/L
ST25OCT17-01-034 ,TEM ABF Effluent (10-16-2025),10/16/2025,pH,7.21,7.21,,pH Units
ST25OCT17-01-034 ,TEM ABF Effluent (10-16-2025),10/16/2025,Soluble BOD,164,164,,mg/L
ST25OCT18-02-033 ,TEM ABF Effluent (10-17-2025),10/17/2025,% Volatile Suspended Solids,92,92,,%
ST25OCT18-02-033 ,TEM ABF Effluent (10-17-2025),10/17/2025,Total Suspended Solids,247,247,,mg/L
ST25OCT18-02-033 ,TEM ABF Effluent (10-17-2025),10/17/2025,Volatile Suspended Solids,229,229,,mg/L
ST25OCT18-02-033 ,TEM ABF Effluent (10-17-2025),10/17/2025,pH,7.72,7.72,,pH Units
ST25OCT18-02-033 ,TEM ABF Effluent (10-17-2025),10/17/2025,Soluble BOD,45,45,,mg/L
ST25OCT19-02-033 ,TEM ABF Effluent (10-18-2025),10/18/2025,% Volatile Suspended Solids,95,95,,%
ST25OCT19-02-033 ,TEM ABF Effluent (10-18-2025),10/18/2025,Total Suspended Solids,264,264,,mg/L
ST25OCT19-02-033 ,TEM ABF Effluent (10-18-2025),10/18/2025,Volatile Suspended Solids,251,251,,mg/L
ST25OCT19-02-033 ,TEM ABF Effluent (10-18-2025),10/18/2025,pH,7.43,7.43,,pH Units
ST25OCT19-02-033 ,TEM ABF Effluent (10-18-2025),10/18/2025,Soluble BOD,106,106,,mg/L
ST25OCT20-01-034 ,TEM ABF Effluent (10-19-2025),10/19/2025,% Volatile Suspended Solids,87,87,,%
ST25OCT20-01-034 ,TEM ABF Effluent (10-19-2025),10/19/2025,Total Suspended Solids,213,213,,mg/L
ST25OCT20-01-034 ,TEM ABF Effluent (10-19-2025),10/19/2025,Volatile Suspended Solids,186,186,,mg/L
ST25OCT20-01-034 ,TEM ABF Effluent (10-19-2025),10/19/2025,pH,7.52,7.52,,pH Units
ST25OCT20-01-034 ,TEM ABF Effluent (10-19-2025),10/19/2025,Soluble BOD,186,186,,mg/L
ST25OCT21-01-034 ,TEM ABF Effluent (10-20-2025),10/20/2025,% Volatile Suspended Solids,90,90,,%
ST25OCT21-01-034 ,TEM ABF Effluent (10-20-2025),10/20/2025,Total Suspended Solids,188,188,,mg/L
ST25OCT21-01-034 ,TEM ABF Effluent (10-20-2025),10/20/2025,Volatile Suspended Solids,170,170,,mg/L
ST25OCT21-01-034 ,TEM ABF Effluent (10-20-2025),10/20/2025,pH,7.27,7.27,,pH Units
ST25OCT21-01-034 ,TEM ABF Effluent (10-20-2025),10/20/2025,Soluble BOD,181,181,,mg/L
ST25OCT22-01-034 ,TEM ABF Effluent (10-21-2025),10/21/2025,% Volatile Suspended Solids,87,87,,%
ST25OCT22-01-034 ,TEM ABF Effluent (10-21-2025),10/21/2025,Total Suspended Solids,131,131,,mg/L
ST25OCT22-01-034 ,TEM ABF Effluent (10-21-2025),10/21/2025,Volatile Suspended Solids,114,114,,mg/L
ST25OCT22-01-034 ,TEM ABF Effluent (10-21-2025),10/21/2025,pH,7.66,7.66,,pH Units
ST25OCT22-01-034 ,TEM ABF Effluent (10-21-2025),10/21/2025,Soluble BOD,68,68,,mg/L
ST25OCT23-01-036 ,TEM ABF Effluent (10-22-2025),10/22/2025,pH,7.13,7.13,,pH Units
ST25OCT23-01-036 ,TEM ABF Effluent (10-22-2025),10/22/2025,Soluble BOD,193,193,,mg/L
ST25OCT23-01-036 ,TEM ABF Effluent (10-22-2025),10/22/2025,% Volatile Suspended Solids,94,94,,%
ST25OCT23-01-036 ,TEM ABF Effluent (10-22-2025),10/22/2025,Total Suspended Solids,133,133,,mg/L
ST25OCT23-01-036 ,TEM ABF Effluent (10-22-2025),10/22/2025,Volatile Suspended Solids,125,125,,mg/L
ST25OCT24-01-034 ,TEM ABF Effluent (10-23-2025),10/23/2025,% Volatile Suspended Solids,93,93,,%
ST25OCT24-01-034 ,TEM ABF Effluent (10-23-2025),10/23/2025,Total Suspended Solids,191,191,,mg/L
ST25OCT24-01-034 ,TEM ABF Effluent (10-23-2025),10/23/2025,Volatile Suspended Solids,177,177,,mg/L
ST25OCT24-01-034 ,TEM ABF Effluent (10-23-2025),10/23/2025,pH,7.31,7.31,,pH Units
ST25OCT24-01-034 ,TEM ABF Effluent (10-23-2025),10/23/2025,Soluble BOD,273,273,,mg/L
ST25OCT25-02-033 ,TEM ABF Effluent (10-24-2025),10/24/2025,% Volatile Suspended Solids,93,93,,%
ST25OCT25-02-033 ,TEM ABF Effluent (10-24-2025),10/24/2025,Total Suspended Solids,155,155,,mg/L
ST25OCT25-02-033 ,TEM ABF Effluent (10-24-2025),10/24/2025,Volatile Suspended Solids,144,144,,mg/L
ST25OCT25-02-033 ,TEM ABF Effluent (10-24-2025),10/24/2025,pH,7.76,7.76,,pH Units
ST25OCT25-02-033 ,TEM ABF Effluent (10-24-2025),10/24/2025,Soluble BOD,114,114,,mg/L
ST25OCT26-02-033 ,TEM ABF Effluent (10-25-2025),10/25/2025,% Volatile Suspended Solids,58,58,,%
ST25OCT26-02-033 ,TEM ABF Effluent (10-25-2025),10/25/2025,Total Suspended Solids,404,404,,mg/L
ST25OCT26-02-033 ,TEM ABF Effluent (10-25-2025),10/25/2025,Volatile Suspended Solids,236,236,,mg/L
ST25OCT26-02-033 ,TEM ABF Effluent (10-25-2025),10/25/2025,pH,7.68,7.68,,pH Units
ST25OCT26-02-033 ,TEM ABF Effluent (10-25-2025),10/25/2025,Soluble BOD,103,103,,mg/L
